Pizza_type_id,Name,Category,Description
90,7Up 475ml,Nonveg,Refreshing clear drink with a natural lemon flavor
91,Mirinda 475ml,Veg,Delicious Orange Flavoured beverage
92,Mirinda 475ml,Nonveg,Delicious Orange Flavoured beverage
93,Nagpur Orange,Veg,Enjoy Oranges from Nagpur with the goodness of Fiber
94,Nagpur Orange,Nonveg,Enjoy Oranges from Nagpur with the goodness of Fiber
95,Pepsi 295 ml,Veg,Sparkling & Refreshing Beverage
96,Pepsi 295 ml,Nonveg,Sparkling & Refreshing Beverage
97,B Natural Alphonsos from Ratnagiri (300 ml),Veg,Alphonsos only from Ratnagiri with the Goodness of Fiber
98,B Natural Alphonsos from Ratnagiri (300 ml),Nonveg,Alphonsos only from Ratnagiri with the Goodness of Fiber
99,B Natural Mixed Fruit from Himalayas (300 ml),Veg,Premium fruits from Himalayas with the Goodness of Fiber
100,B Natural Mixed Fruit from Himalayas (300 ml),Nonveg,Premium fruits from Himalayas with the Goodness of Fiber
101,Lipton Ice Tea ( 350 ml),Veg,"Refreshment Sahi, Gas Nahi"
102,Lipton Ice Tea ( 350 ml),Nonveg,"Refreshment Sahi, Gas Nahi"
103,Bailley One (500ml),Veg,Packaged Drinking Water
104,Bailley One (500ml),Nonveg,Packaged Drinking Water
105,Mountain Dew 475ml,Veg,Strong and Refreshing
106,Mountain Dew 475ml,Nonveg,Strong and Refreshing
107,Garlic Breadsticks + Cheesy Dip,Veg,Enjoy the all-time favorite Garlic Breadsticks with the indulgent Cheesy Dip
108,Garlic Breadsticks + Cheesy Dip,Nonveg,Enjoy the all-time favorite Garlic Breadsticks with the indulgent Cheesy Dip
109,Garlic Breadsticks + Pepsi,Veg,Enjoy the all time favourite Garlic Breadsticks with Pepsi (475 ml)
110,Garlic Breadsticks + Pepsi,Nonveg,Enjoy the all time favourite Garlic Breadsticks with Pepsi (475 ml)
111,Garlic Breadsticks,Veg,Baked to perfection. Your perfect pizza partner! Tastes best with dip
112,Garlic Breadsticks,Nonveg,Baked to perfection. Your perfect pizza partner! Tastes best with dip
